HEADER1,311376495,19/02/2024,387113.0.0,TNT,9,73,63.95,0
HEADER2,7461083160
HEADER3
00008865511555397309,FB1959,101,8.5,00196975576159,ID,5,,01-01-2024
00008865511555397309,FB1959,101,10.5,00196975579037,ID,5,,01-01-2024
00008865511555397316,FB1959,101,7,00196975584420,ID,5,,01-01-2024
00008865511555397316,FB1959,101,9.5,00196975553990,ID,5,,01-01-2024
00008865511555397323,FB1959,101,9,00196975566921,ID,3,,01-01-2024
00008865511555397323,FB1959,101,12.5,00196975561377,ID,5,,01-01-2024
00008865511555397330,FB1959,101,6.5,00196975571369,ID,3,,01-01-2024
00008865511555397330,FB1959,101,8,00196975567317,ID,5,,01-01-2024
00008865511555397330,FB1959,101,9,00196975566921,ID,2,,01-01-2024
00008865511555397347,FB1959,101,6.5,00196975571369,ID,2,,01-01-2024
00008865511555397347,FB1959,101,7.5,00196975567614,ID,5,,01-01-2024
00008865511555397347,FB1959,101,14.5,00196975563593,ID,2,,01-01-2024
00008865511555397354,FB1959,101,10,00196975574971,ID,4,,01-01-2024
00008865511555397354,FB1959,101,11,00196975578894,ID,5,,01-01-2024
00008865511555397361,FB1959,101,10,00196975574971,ID,1,,01-01-2024
00008865511555397361,FB1959,101,12,00196975581542,ID,4,,01-01-2024
00008865511555397361,FB1959,101,13,00196975564279,ID,2,,01-01-2024
00008865511555397361,FB1959,101,14,00196975577200,ID,2,,01-01-2024
00008865511555397378,FB1959,101,11.5,00196975562213,ID,4,,01-01-2024
00008865511555397378,FB1959,101,12,00196975581542,ID,1,,01-01-2024
00008865511555397378,FB1959,101,13.5,00196975571635,ID,2,,01-01-2024
00008865511555397385,FB1959,101,11.5,00196975562213,ID,1,,01-01-2024
HEADER1,311376496,19/02/2024,387113.0.0,TNT,4,16,16.50,0
HEADER2,7522906783
HEADER3
00008865511555398177,DD8959,115,10,00196969572655,VN,2,,DOPE CO 2 UPLOAD
00008865511555398184,DD8959,115,6,00196969572570,VN,6,,DOPE CO 2 UPLOAD
00008865511555398191,FQ2742,101,7,00196974607779,VN,4,,DOPE CO 2 UPLOAD
00008865511555398207,DD8959,115,6,00196969572570,VN,3,,DOPE CO 2 UPLOAD
00008865511555398207,DD8959,115,10,00196969572655,VN,1,,DOPE CO 2 UPLOAD
HEADER1,311376566,19/02/2024,387113.0.0,TNT,4,19,17.60,0
HEADER2,7526864229,7526864231
HEADER3
00008865511555398474,CI0919,111,6,00195243796480,CN,6,,DOPE CO
00008865511555398481,CI0919,111,6,00195243796480,CN,6,,DOPE CO
00008865511555398498,CI0919,111,6,00195243796480,CN,6,,DOPE CO
00008865511555398504,DZ2522,100,11,00196608072874,VN,1,,DOPE CO
