HEADER1,311433120,07/03/2024,387113.0.0,TNT,7,50,45.95,0
HEADER2,7461083160
HEADER3
00008865511567320289,FJ2260,001,7,00196975584697,VN,6,,01-01-2024
00008865511567320296,FJ2260,001,7.5,00196975559022,VN,6,,01-01-2024
00008865511567320302,FJ2260,001,8,00196975574582,VN,6,,01-01-2024
00008865511567320319,FJ2260,001,8.5,00196975584710,VN,6,,01-01-2024
00008865511567320326,FJ2260,001,9,00196975565887,VN,6,,01-01-2024
00008865511567320333,FJ2260,001,6,00196975577057,VN,4,,01-01-2024
00008865511567320333,FJ2260,001,9.5,00196975554423,VN,2,,01-01-2024
00008865511567320333,FJ2260,001,10,00196975576050,VN,4,,01-01-2024
00008865511567320340,FJ2260,001,5,00196975557813,VN,1,,01-01-2024
00008865511567320340,FJ2260,001,5.5,00196975584772,VN,1,,01-01-2024
00008865511567320340,FJ2260,001,6.5,00196975583720,VN,4,,01-01-2024
00008865511567320340,FJ2260,001,9.5,00196975554423,VN,2,,01-01-2024
00008865511567320340,FJ2260,001,10.5,00196975584680,VN,1,,01-01-2024
00008865511567320340,FJ2260,001,11,00196975579440,VN,1,,01-01-2024
HEADER1,429613316,07/03/2024,387113.0.0,TNT,8,72,46.40,72
HEADER2,7461650753,7461650755
HEADER3
00000912041148852997,FN0372,247,S,00196969100100,VN,5,5,01-01-2024
00000912041148852997,FN0372,247,M,00196969100117,VN,1,1,01-01-2024
00000912041148852997,FN0372,247,L,00196969100124,VN,1,1,01-01-2024
00000912041148852997,FN0372,510,M,00196975117475,VN,1,1,01-01-2024
00000912041148853000,FN0372,247,M,00196969100117,VN,8,8,01-01-2024
00000912041148853017,FN0372,247,L,00196969100124,VN,8,8,01-01-2024
00000912041148853024,FN0372,247,XL,00196969100131,VN,2,2,01-01-2024
00000912041148853024,FN0372,510,S,00196975132782,VN,5,5,01-01-2024
00000912041148853031,FN0372,510,M,00196975117475,VN,8,8,01-01-2024
00000912041148853048,FN0372,510,L,00196975137657,VN,8,8,01-01-2024
00000912041148853055,FN0372,510,L,00196975137657,VN,1,1,01-01-2024
00000912041148853055,FN0372,510,XL,00196975131303,VN,2,2,01-01-2024
00000912041148853062,DJ3642,361,S,00196975324958,VN,2,2,01-02-2024
00000912041148853062,DJ3642,361,M,00196975193615,VN,3,3,01-02-2024
00000912041148853062,DJ3642,361,L,00196975334261,VN,4,4,01-02-2024
00000912041148853062,FQ3729,121,S,00196975224258,VN,1,1,01-02-2024
00000912041148853062,FQ3729,121,M,00196975198313,VN,6,6,01-02-2024
00000912041148853062,FQ3729,121,L,00196975258598,VN,5,5,01-02-2024
00000912041148853062,FQ3729,121,XL,00196975264872,VN,1,1,01-02-2024
